CUSTOMER.custKey : 49801	CUSTOMER.name : Customer#000049801
ORDRE.custKey: 115252	ORDER.comment:  quick packages are blithely. slyly silent accounts wake qu
ORDRE.custKey: 86116	ORDER.comment: kly regular pinto beans. carefully unusual waters cajole never
ORDRE.custKey: 124828	ORDER.comment: haggle blithely. furiously express ideas haggle blithely furiously regular re
ORDRE.custKey: 81763	ORDER.comment: ole express, ironic requests: ir
ORDRE.custKey: 32113	ORDER.comment: wake fluffily. sometimes ironic pinto beans about the dolphin
ORDRE.custKey: 16252	ORDER.comment: ular requests are blithely pending orbits-- even requests against the deposit
ORDRE.custKey: 129200	ORDER.comment: y pending requests integrate
ORDRE.custKey: 56614	ORDER.comment: symptotes haggle slyly around the furiously iron
ORDRE.custKey: 28547	ORDER.comment:  pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
ORDRE.custKey: 84487	ORDER.comment:  depths atop the slyly thin deposits detect among the furiously silent accou
ORDRE.custKey: 64340	ORDER.comment:  carefully ironic request
ORDRE.custKey: 3373	ORDER.comment:  express deposits along the blithely regul
ORDRE.custKey: 107779	ORDER.comment: oost furiously. pinto
ORDRE.custKey: 21061	ORDER.comment: hang blithely along the regular accounts. furiously even ideas after the
ORDRE.custKey: 104480	ORDER.comment: c asymptotes. quickly regular packages should have to nag re
ORDRE.custKey: 88910	ORDER.comment: e carefully ironic packages. pending
ORDRE.custKey: 147004	ORDER.comment: heodolites detect slyly alongside of the ent
ORDRE.custKey: 27998	ORDER.comment: ding accounts above the slyly final asymptote
ORDRE.custKey: 716	ORDER.comment:  slyly according to the asymptotes. carefully final packages integrate furious
ORDRE.custKey: 29101	ORDER.comment: ges. carefully unusual instructions haggle quickly regular f
ORDRE.custKey: 73957	ORDER.comment: ns integrate fluffily. ironic asymptotes after the regular excuses nag around 
ORDRE.custKey: 71134	ORDER.comment: ing tithes. carefully pending deposits boost about the silently express 
ORDRE.custKey: 36964	ORDER.comment: le slyly unusual, regular packages? express deposits det
ORDRE.custKey: 92749	ORDER.comment: after the fluffily special foxes integrate s
ORDRE.custKey: 26395	ORDER.comment: sits are daringly accounts. carefully regular foxes sleep slyly about the
ORDRE.custKey: 44000	ORDER.comment: usly final asymptotes 
ORDRE.custKey: 6199	ORDER.comment: lar theodolites boos
ORDRE.custKey: 60481	ORDER.comment: l platelets use according t
ORDRE.custKey: 82495	ORDER.comment: thely special sauternes wake slyly of t
ORDRE.custKey: 16619	ORDER.comment: carefully! special instructions sin
ORDRE.custKey: 14116	ORDER.comment: nts hinder fluffily ironic instructions. express, express excuses 
ORDRE.custKey: 87760	ORDER.comment: y final packages. final foxes since the quickly even
ORDRE.custKey: 779	ORDER.comment: cajole ironic courts. slyly final ideas are slyly. blithely final Tiresias sub
ORDRE.custKey: 27238	ORDER.comment: across the blithely regular accounts. bold
ORDRE.custKey: 107812	ORDER.comment: lets. ironic, bold asymptotes kindle
ORDRE.custKey: 119402	ORDER.comment: s nag furiously bold excuses. fluffily iron
ORDRE.custKey: 82570	ORDER.comment: y unusual platelets among the final instructions integrate rut
ORDRE.custKey: 79061	ORDER.comment: the furiously final pin
ORDRE.custKey: 61724	ORDER.comment: egular requests haggle slyly regular, regular pinto beans. asymptote
ORDRE.custKey: 135421	ORDER.comment: old forges are furiously sheaves. slyly fi
ORDRE.custKey: 64825	ORDER.comment: beans boost at the foxes. silent foxes
ORDRE.custKey: 32512	ORDER.comment: solve quickly about the even braids. carefully express deposits affix care
ORDRE.custKey: 110218	ORDER.comment: its. carefully ironic requests sleep. furiously express fox
ORDRE.custKey: 52970	ORDER.comment: g theodolites. special packag
ORDRE.custKey: 2476	ORDER.comment: r the quickly thin courts. carefully
ORDRE.custKey: 33031	ORDER.comment: s. blithely ironic accounts wake quickly fluffily special acc
ORDRE.custKey: 127466	ORDER.comment: s are carefully at the blithely ironic acc
ORDRE.custKey: 9883	ORDER.comment:  express instructions. slyly regul
ORDRE.custKey: 44078	ORDER.comment: es was slyly among the regular foxes. blithely regular dependenci
ORDRE.custKey: 111728	ORDER.comment: he fluffily even instructions. furiously i
ORDRE.custKey: 102535	ORDER.comment: odolites. carefully quick requ
ORDRE.custKey: 90818	ORDER.comment:  packages haggle slyly after the carefully ironic instruct
ORDRE.custKey: 124831	ORDER.comment: he fluffily final ideas might are final accounts. carefully f
ORDRE.custKey: 122693	ORDER.comment: ts against the sly warhorses cajole slyly accounts
ORDRE.custKey: 41861	ORDER.comment: dencies. blithely quick packages cajole. ruthlessly final accounts
ORDRE.custKey: 43186	ORDER.comment: ages doubt blithely against the final foxes. carefully express deposits dazzle
ORDRE.custKey: 104728	ORDER.comment: lently regular pinto beans sleep after the slyly e
ORDRE.custKey: 46072	ORDER.comment: ully fluffily brave instructions. furiousl
ORDRE.custKey: 30352	ORDER.comment: l packages. blithely final pinto beans use carefu
ORDRE.custKey: 116069	ORDER.comment:  pending instructions. blithely un
ORDRE.custKey: 7093	ORDER.comment: uriously final requests. even, final ideas det
ORDRE.custKey: 103750	ORDER.comment: sily. slyly special excuse
ORDRE.custKey: 117952	ORDER.comment: efully dogged deposits. furiou
ORDRE.custKey: 141050	ORDER.comment: dolites. carefully regular pinto beans cajol
ORDRE.custKey: 22252	ORDER.comment: g pinto beans will have to sleep f
ORDRE.custKey: 29929	ORDER.comment: re bold, ironic deposits. platelets c
ORDRE.custKey: 50498	ORDER.comment: kly according to the frays. final dolphins affix quickly 
ORDRE.custKey: 18985	ORDER.comment:  unusual pinto beans play. regular ideas haggle
ORDRE.custKey: 302	ORDER.comment: ar foxes nag blithely
ORDRE.custKey: 122591	ORDER.comment: equests run. blithely final dependencies after the deposits wake caref
ORDRE.custKey: 133546	ORDER.comment: fully across the slyly bold packages. packages against the quickly regular i
ORDRE.custKey: 39133	ORDER.comment: arefully pending foxes sleep blithely. slyly express accoun
ORDRE.custKey: 105155	ORDER.comment:  about the ironic, regular deposits run blithely against the excuses
ORDRE.custKey: 40024	ORDER.comment: ly sometimes pending pa
ORDRE.custKey: 75986	ORDER.comment:  requests. furiously ironic asymptotes mold carefully alongside of the blit
ORDRE.custKey: 144598	ORDER.comment: ng the slyly final courts. slyly even escapades eat 
ORDRE.custKey: 106456	ORDER.comment: ke slyly bold pinto beans. blithely regular accounts against the spe
ORDRE.custKey: 1777	ORDER.comment:  quiet ideas sleep. even instructions cajole slyly. silently spe
ORDRE.custKey: 138268	ORDER.comment: ly regular ideas wake across the slyly silent ideas. final deposits eat b
ORDRE.custKey: 70007	ORDER.comment: s. sometimes regular requests cajole. regular, pending accounts a
ORDRE.custKey: 146809	ORDER.comment: as wake along the bold accounts. even, 
ORDRE.custKey: 60395	ORDER.comment: e blithely about the express, final accounts. quickl
ORDRE.custKey: 2290	ORDER.comment: l, silent instructions are slyly. silently even de
ORDRE.custKey: 77600	ORDER.comment: n dolphins. special courts above the carefully ironic requests use
ORDRE.custKey: 113009	ORDER.comment: , even accounts use furiously packages. slyly ironic pla
ORDRE.custKey: 32947	ORDER.comment: hless accounts unwind bold pain
ORDRE.custKey: 60110	ORDER.comment:  haggle quickly. stealthily bold asymptotes haggle among the furiously even re
ORDRE.custKey: 3296	ORDER.comment:  are carefully among the quickly even deposits. furiously silent req
ORDRE.custKey: 44668	ORDER.comment: ar foxes above the furiously ironic deposits nag slyly final reque
102535,odolites. carefully quick requ
odolites. carefully quick requ	odolites. carefully quick requ
103750,sily. slyly special excuse
sily. slyly special excuse	sily. slyly special excuse
104480,c asymptotes. quickly regular packages should have to nag re
c asymptotes. quickly regular packages should have to nag re	c asymptotes. quickly regular packages should have to nag re
104728,lently regular pinto beans sleep after the slyly e
lently regular pinto beans sleep after the slyly e	lently regular pinto beans sleep after the slyly e
105155, about the ironic, regular deposits run blithely against the excuses
 about the ironic	 about the ironic
106456,ke slyly bold pinto beans. blithely regular accounts against the spe
ke slyly bold pinto beans. blithely regular accounts against the spe	ke slyly bold pinto beans. blithely regular accounts against the spe
107779,oost furiously. pinto
oost furiously. pinto	oost furiously. pinto
107812,lets. ironic, bold asymptotes kindle
lets. ironic	lets. ironic
110218,its. carefully ironic requests sleep. furiously express fox
its. carefully ironic requests sleep. furiously express fox	its. carefully ironic requests sleep. furiously express fox
111728,he fluffily even instructions. furiously i
he fluffily even instructions. furiously i	he fluffily even instructions. furiously i
113009,, even accounts use furiously packages. slyly ironic pla
	
115252, quick packages are blithely. slyly silent accounts wake qu
 quick packages are blithely. slyly silent accounts wake qu	 quick packages are blithely. slyly silent accounts wake qu
116069, pending instructions. blithely un
 pending instructions. blithely un	 pending instructions. blithely un
117952,efully dogged deposits. furiou
efully dogged deposits. furiou	efully dogged deposits. furiou
119402,s nag furiously bold excuses. fluffily iron
s nag furiously bold excuses. fluffily iron	s nag furiously bold excuses. fluffily iron
122591,equests run. blithely final dependencies after the deposits wake caref
equests run. blithely final dependencies after the deposits wake caref	equests run. blithely final dependencies after the deposits wake caref
122693,ts against the sly warhorses cajole slyly accounts
ts against the sly warhorses cajole slyly accounts	ts against the sly warhorses cajole slyly accounts
123314,sly final accounts boost. carefully regular ideas cajole carefully. depos
sly final accounts boost. carefully regular ideas cajole carefully. depos	sly final accounts boost. carefully regular ideas cajole carefully. depos
124828,haggle blithely. furiously express ideas haggle blithely furiously regular re
haggle blithely. furiously express ideas haggle blithely furiously regular re	haggle blithely. furiously express ideas haggle blithely furiously regular re
124831,he fluffily final ideas might are final accounts. carefully f
he fluffily final ideas might are final accounts. carefully f	he fluffily final ideas might are final accounts. carefully f
127466,s are carefully at the blithely ironic acc
s are carefully at the blithely ironic acc	s are carefully at the blithely ironic acc
127588,zzle. carefully enticing deposits nag furio
zzle. carefully enticing deposits nag furio	zzle. carefully enticing deposits nag furio
129200,y pending requests integrate
y pending requests integrate	y pending requests integrate
130057,ise blithely bold, regular requests. quickly unusual dep
ise blithely bold	ise blithely bold
133546,fully across the slyly bold packages. packages against the quickly regular i
fully across the slyly bold packages. packages against the quickly regular i	fully across the slyly bold packages. packages against the quickly regular i
135421,old forges are furiously sheaves. slyly fi
old forges are furiously sheaves. slyly fi	old forges are furiously sheaves. slyly fi
136777,sits. slyly regular warthogs cajole. regular, regular theodolites acro
sits. slyly regular warthogs cajole. regular	sits. slyly regular warthogs cajole. regular
138268,ly regular ideas wake across the slyly silent ideas. final deposits eat b
ly regular ideas wake across the slyly silent ideas. final deposits eat b	ly regular ideas wake across the slyly silent ideas. final deposits eat b
141050,dolites. carefully regular pinto beans cajol
dolites. carefully regular pinto beans cajol	dolites. carefully regular pinto beans cajol
14116,nts hinder fluffily ironic instructions. express, express excuses 
nts hinder fluffily ironic instructions. express	nts hinder fluffily ironic instructions. express
144598,ng the slyly final courts. slyly even escapades eat 
ng the slyly final courts. slyly even escapades eat 	ng the slyly final courts. slyly even escapades eat 
146809,as wake along the bold accounts. even, 
as wake along the bold accounts. even	as wake along the bold accounts. even
147004,heodolites detect slyly alongside of the ent
heodolites detect slyly alongside of the ent	heodolites detect slyly alongside of the ent
16252,ular requests are blithely pending orbits-- even requests against the deposit
ular requests are blithely pending orbits-- even requests against the deposit	ular requests are blithely pending orbits-- even requests against the deposit
16619,carefully! special instructions sin
carefully! special instructions sin	carefully! special instructions sin
1777, quiet ideas sleep. even instructions cajole slyly. silently spe
 quiet ideas sleep. even instructions cajole slyly. silently spe	 quiet ideas sleep. even instructions cajole slyly. silently spe
18985, unusual pinto beans play. regular ideas haggle
 unusual pinto beans play. regular ideas haggle	 unusual pinto beans play. regular ideas haggle
21061,hang blithely along the regular accounts. furiously even ideas after the
hang blithely along the regular accounts. furiously even ideas after the	hang blithely along the regular accounts. furiously even ideas after the
22252,g pinto beans will have to sleep f
g pinto beans will have to sleep f	g pinto beans will have to sleep f
2290,l, silent instructions are slyly. silently even de
l	l
2476,r the quickly thin courts. carefully
r the quickly thin courts. carefully	r the quickly thin courts. carefully
26395,sits are daringly accounts. carefully regular foxes sleep slyly about the
sits are daringly accounts. carefully regular foxes sleep slyly about the	sits are daringly accounts. carefully regular foxes sleep slyly about the
27238,across the blithely regular accounts. bold
across the blithely regular accounts. bold	across the blithely regular accounts. bold
27998,ding accounts above the slyly final asymptote
ding accounts above the slyly final asymptote	ding accounts above the slyly final asymptote
28547, pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
 pinto beans sleep carefully. blithely ironic deposits haggle furiously acro	 pinto beans sleep carefully. blithely ironic deposits haggle furiously acro
29101,ges. carefully unusual instructions haggle quickly regular f
ges. carefully unusual instructions haggle quickly regular f	ges. carefully unusual instructions haggle quickly regular f
29929,re bold, ironic deposits. platelets c
re bold	re bold
302,ar foxes nag blithely
ar foxes nag blithely	ar foxes nag blithely
30352,l packages. blithely final pinto beans use carefu
l packages. blithely final pinto beans use carefu	l packages. blithely final pinto beans use carefu
32113,wake fluffily. sometimes ironic pinto beans about the dolphin
wake fluffily. sometimes ironic pinto beans about the dolphin	wake fluffily. sometimes ironic pinto beans about the dolphin
32512,solve quickly about the even braids. carefully express deposits affix care
solve quickly about the even braids. carefully express deposits affix care	solve quickly about the even braids. carefully express deposits affix care
32947,hless accounts unwind bold pain
hless accounts unwind bold pain	hless accounts unwind bold pain
3296, are carefully among the quickly even deposits. furiously silent req
 are carefully among the quickly even deposits. furiously silent req	 are carefully among the quickly even deposits. furiously silent req
33031,s. blithely ironic accounts wake quickly fluffily special acc
s. blithely ironic accounts wake quickly fluffily special acc	s. blithely ironic accounts wake quickly fluffily special acc
3373, express deposits along the blithely regul
 express deposits along the blithely regul	 express deposits along the blithely regul
36901,nstructions sleep furiously among 
nstructions sleep furiously among 	nstructions sleep furiously among 
36964,le slyly unusual, regular packages? express deposits det
le slyly unusual	le slyly unusual
39133,arefully pending foxes sleep blithely. slyly express accoun
arefully pending foxes sleep blithely. slyly express accoun	arefully pending foxes sleep blithely. slyly express accoun
39136,ly special requests 
ly special requests 	ly special requests 
40024,ly sometimes pending pa
ly sometimes pending pa	ly sometimes pending pa
41861,dencies. blithely quick packages cajole. ruthlessly final accounts
dencies. blithely quick packages cajole. ruthlessly final accounts	dencies. blithely quick packages cajole. ruthlessly final accounts
43186,ages doubt blithely against the final foxes. carefully express deposits dazzle
ages doubt blithely against the final foxes. carefully express deposits dazzle	ages doubt blithely against the final foxes. carefully express deposits dazzle
44000,usly final asymptotes 
usly final asymptotes 	usly final asymptotes 
44078,es was slyly among the regular foxes. blithely regular dependenci
es was slyly among the regular foxes. blithely regular dependenci	es was slyly among the regular foxes. blithely regular dependenci
44485,quickly. bold deposits sleep slyly. packages use slyly
quickly. bold deposits sleep slyly. packages use slyly	quickly. bold deposits sleep slyly. packages use slyly
44668,ar foxes above the furiously ironic deposits nag slyly final reque
ar foxes above the furiously ironic deposits nag slyly final reque	ar foxes above the furiously ironic deposits nag slyly final reque
46072,ully fluffily brave instructions. furiousl
ully fluffily brave instructions. furiousl	ully fluffily brave instructions. furiousl
49801,Customer#000049801
Customer#000049801	Customer#000049801
49802,Customer#000049802
Customer#000049802	Customer#000049802
49803,Customer#000049803
Customer#000049803	Customer#000049803
49804,Customer#000049804
Customer#000049804	Customer#000049804
49805,Customer#000049805
Customer#000049805	Customer#000049805
49806,Customer#000049806
Customer#000049806	Customer#000049806
49807,Customer#000049807
Customer#000049807	Customer#000049807
49808,Customer#000049808
Customer#000049808	Customer#000049808
49809,Customer#000049809
Customer#000049809	Customer#000049809
49810,Customer#000049810
Customer#000049810	Customer#000049810
49811,Customer#000049811
Customer#000049811	Customer#000049811
49812,Customer#000049812
Customer#000049812	Customer#000049812
49813,Customer#000049813
Customer#000049813	Customer#000049813
49814,Customer#000049814
Customer#000049814	Customer#000049814
49815,Customer#000049815
Customer#000049815	Customer#000049815
49816,Customer#000049816
Customer#000049816	Customer#000049816
49817,Customer#000049817
Customer#000049817	Customer#000049817
49818,Customer#000049818
Customer#000049818	Customer#000049818
49819,Customer#000049819
Customer#000049819	Customer#000049819
49820,Customer#000049820
Customer#000049820	Customer#000049820
49821,Customer#000049821
Customer#000049821	Customer#000049821
49822,Customer#000049822
Customer#000049822	Customer#000049822
49823,Customer#000049823
Customer#000049823	Customer#000049823
49824,Customer#000049824
Customer#000049824	Customer#000049824
49825,Customer#000049825
Customer#000049825	Customer#000049825
49826,Customer#000049826
Customer#000049826	Customer#000049826
49827,Customer#000049827
Customer#000049827	Customer#000049827
49828,Customer#000049828
Customer#000049828	Customer#000049828
49829,Customer#000049829
Customer#000049829	Customer#000049829
49830,Customer#000049830
Customer#000049830	Customer#000049830
49831,Customer#000049831
Customer#000049831	Customer#000049831
49832,Customer#000049832
Customer#000049832	Customer#000049832
49833,Customer#000049833
Customer#000049833	Customer#000049833
49834,Customer#000049834
Customer#000049834	Customer#000049834
49835,Customer#000049835
Customer#000049835	Customer#000049835
49836,Customer#000049836
Customer#000049836	Customer#000049836
49837,Customer#000049837
Customer#000049837	Customer#000049837
49838,Customer#000049838
Customer#000049838	Customer#000049838
49839,Customer#000049839
Customer#000049839	Customer#000049839
49840,Customer#000049840
Customer#000049840	Customer#000049840
49841,Customer#000049841
Customer#000049841	Customer#000049841
49842,Customer#000049842
Customer#000049842	Customer#000049842
49843,Customer#000049843
Customer#000049843	Customer#000049843
49844,Customer#000049844
Customer#000049844	Customer#000049844
49845,Customer#000049845
Customer#000049845	Customer#000049845
49846,Customer#000049846
Customer#000049846	Customer#000049846
49847,Customer#000049847
Customer#000049847	Customer#000049847
49848,Customer#000049848
Customer#000049848	Customer#000049848
49849,Customer#000049849
Customer#000049849	Customer#000049849
49850,Customer#000049850
Customer#000049850	Customer#000049850
49851,Customer#000049851
Customer#000049851	Customer#000049851
49852,Customer#000049852
Customer#000049852	Customer#000049852
49853,Customer#000049853
Customer#000049853	Customer#000049853
49854,Customer#000049854
Customer#000049854	Customer#000049854
49855,Customer#000049855
Customer#000049855	Customer#000049855
49856,Customer#000049856
Customer#000049856	Customer#000049856
49857,Customer#000049857
Customer#000049857	Customer#000049857
49858,Customer#000049858
Customer#000049858	Customer#000049858
49859,Customer#000049859
Customer#000049859	Customer#000049859
49860,Customer#000049860
Customer#000049860	Customer#000049860
49861,Customer#000049861
Customer#000049861	Customer#000049861
49862,Customer#000049862
Customer#000049862	Customer#000049862
49863,Customer#000049863
Customer#000049863	Customer#000049863
49864,Customer#000049864
Customer#000049864	Customer#000049864
49865,Customer#000049865
Customer#000049865	Customer#000049865
49866,Customer#000049866
Customer#000049866	Customer#000049866
49867,Customer#000049867
Customer#000049867	Customer#000049867
49868,Customer#000049868
Customer#000049868	Customer#000049868
49869,Customer#000049869
Customer#000049869	Customer#000049869
49870,Customer#000049870
Customer#000049870	Customer#000049870
49871,Customer#000049871
Customer#000049871	Customer#000049871
49872,Customer#000049872
Customer#000049872	Customer#000049872
49873,Customer#000049873
Customer#000049873	Customer#000049873
49874,Customer#000049874
Customer#000049874	Customer#000049874
49875,Customer#000049875
Customer#000049875	Customer#000049875
49876,Customer#000049876
Customer#000049876	Customer#000049876
49877,Customer#000049877
Customer#000049877	Customer#000049877
49878,Customer#000049878
Customer#000049878	Customer#000049878
49879,Customer#000049879
Customer#000049879	Customer#000049879
49880,Customer#000049880
Customer#000049880	Customer#000049880
49881,Customer#000049881
Customer#000049881	Customer#000049881
49882,Customer#000049882
Customer#000049882	Customer#000049882
49883,Customer#000049883
Customer#000049883	Customer#000049883
49884,Customer#000049884
Customer#000049884	Customer#000049884
49885,Customer#000049885
Customer#000049885	Customer#000049885
49886,Customer#000049886
Customer#000049886	Customer#000049886
49887,Customer#000049887
Customer#000049887	Customer#000049887
49888,Customer#000049888
Customer#000049888	Customer#000049888
49889,Customer#000049889
Customer#000049889	Customer#000049889
49890,Customer#000049890
Customer#000049890	Customer#000049890
49891,Customer#000049891
Customer#000049891	Customer#000049891
49892,Customer#000049892
Customer#000049892	Customer#000049892
49893,Customer#000049893
Customer#000049893	Customer#000049893
49894,Customer#000049894
Customer#000049894	Customer#000049894
49895,Customer#000049895
Customer#000049895	Customer#000049895
49896,Customer#000049896
Customer#000049896	Customer#000049896
49897,Customer#000049897
Customer#000049897	Customer#000049897
49898,Customer#000049898
